Id,Area2D,Area3D,Complexity
9609974,2726.35,42948.2,10
9225330,3573.28,53621.5,9
9257817,2679.37,31259.8,4
9197953,2187.78,25056.6,4
9622426,85.6199,1757.9,8
9195951,2470.3,33965.4,8
9213462,3647.25,57028.1,10
9209117,-,-,-
630395,1597.47,18411.7,4
9236300,1758.81,20598,5
9190290,77.8334,867.493,1
9213755,142.309,1764.7,4
9224573,2254.44,30110.3,8
9263842,4166.5,64169,8
9209043,2720.35,31720.7,5
9206679,-,-,-
9250333,302.204,3952.97,6
9618191,2619.62,31957.8,6
7898680,2360.01,25885.5,2
9224581,3136.95,41770.6,8
9657811,2482.59,27892.9,4
9201399,-,-,-
9640576,3778.87,41632.7,2
9201480,3133.87,45596.4,8
9224577,2978.33,39828.2,8
9198043,2844.51,37654.4,8
9249530,3548.39,57632.8,12
9254646,-,-,-
9245000,-,-,-
9274252,46.2512,522.041,1
9254857,2494.98,29060.5,5
9201398,3594.07,53020.2,8
9213402,3243.97,44133.3,8
9189230,3520.38,47628,8
9422249,4769.95,77514.9,11
7996868,144.318,1594.52,3
9190676,2241.84,25703.7,4
9203253,2913.61,40157.4,8
9243313,1847.39,29028.9,10
9225270,2748.12,32360.7,5
9203006,3266.94,41586.3,8
9218326,2113.08,26829.2,7
9236428,2620.44,32229.3,6
9193860,1646.86,22581.5,7
9190739,2950.92,39677.4,8
9622670,-,-,-
7571623,2693.48,34823,7
9199993,132.439,1866.34,8
9190716,5920.17,68505.3,4
4614301,2763.93,33044.9,5
4557482,4228,47771.6,3
9247112,2728.3,37671.8,8
9226180,924.172,10786.7,7
7664219,2022.93,25455.1,8
9618937,2963.14,35594.6,5
9221914,2977.46,40025.9,8
9208996,308.75,3807.44,6
9200878,-,-,-
9238793,2441.45,28701.3,4
7630934,4293.66,62240,8
9209448,2711.68,30702.6,3
7861738,196.637,2169.02,1
9242965,-,-,-
9245760,2709.41,36681.4,8
9227794,3423.62,56549.5,12
9190313,3621.34,48989.6,8
9237523,134.281,1488.94,1
9651923,3160.17,42787.1,8
7452110,2952.73,39492.1,8
8023947,686.431,7552.51,3
9222201,2588.22,40172,10
9205603,4068.87,55160,8
9200970,2307.66,30633.1,8
9208797,3673.2,57259.4,10
9190834,4173.42,56472.6,9
9243040,-,-,-
9255393,138.388,1757.07,5
9199421,4673.53,58088.6,7
9255183,3186.13,43415.4,8
9251331,3892.55,54647.8,8
9249406,3727.3,57354.6,10
9249169,1952.8,22370.3,4
9251156,3651.61,59818.9,10
9201028,1797.08,27763,11
64435,2886.26,54967.5,12
9213389,86.9654,1565.86,18
9225099,2745.27,38609,8
9243867,1571.65,18806.4,6
7179884,4363.5,49048.1,4
9201419,2210.8,29388.4,8
7883015,1901.39,24651.7,7
9243429,3301.75,44323.4,8
2547242,4324.63,61115.7,9
9245400,1242.39,14376.3,5
9195327,42.5642,465.494,2
9213227,3750.81,45170.7,6
9273847,5850.76,80533.9,8
9655098,773.777,8987.26,5
9198555,-,-,-
7864511,416.165,5094.9,5
9282918,2945.99,40475.8,8
9243330,2961.2,34462.7,5
9261535,112.69,1383.76,6
9203353,696.982,7985.69,4
9654846,-,-,-
309042,2383.66,26592.3,3
7541604,1425.82,16035.6,4
9618943,2914.95,38198.9,8
9190622,2228.12,28820.9,6
9188904,2850.21,33532.2,5
9213071,1828.49,20825.3,4
9652149,3033.41,41022.6,8
9222986,4820.41,53547.9,2
9247515,-,-,-
52552,5380.46,96771.1,12
9622331,2036.34,23158.6,4
9243803,1399.06,16344.9,5
9618501,2570.28,31104.6,6
9196844,2636.28,33626.2,7
9218734,2447.62,31085.8,8
9273138,2115.93,26614.7,6
9247146,2700.29,40033.9,8
9225368,3042.35,40613.4,8
9190315,1431.94,17505.8,5
7679364,2725.91,33323,6
9236304,6627.58,81384.7,6
9264010,3056.38,41849.1,8
9201482,3047.34,38195,8
9227394,2871.43,37211.9,7
9209548,92.0793,1057.46,3
9277785,3080.05,40196.2,7
9239269,85.089,954.058,3
9277966,1846.46,20962.5,4
9612525,2129.83,24520.9,4
9195442,2385.35,32685.7,8
7733225,2019.33,23274.2,3
9302383,3429.46,45148.1,8
564358,3772.78,49095.9,9
7326977,4112.77,49772,6
9213153,3222.6,44051.4,7
9251699,2739.82,32364.6,5
9190525,2930.24,42653.4,10
9212632,-,-,-
9190965,73.8416,810.124,2
9197708,359.661,4210.19,4
426823,2340.85,28280,5
9257154,3368.03,53291.6,10
9615507,2101.65,27040.1,8
9254776,93.5588,1071.74,4
9236240,2114.24,28731.9,8
9198556,106.157,1200.82,4
9249115,3274.06,43079.4,8
9255225,392.189,4252,0
9230101,3544.68,54254.3,10
9198023,2689.97,30612.4,4
9198187,3755.1,42709.8,5
5679871,3463.13,45289.7,7
9213141,4681.29,60217.9,8
9251902,2729.67,37167.9,8
9245715,3877.86,52277.1,9
9278663,-,-,-
9622559,3715.89,47495.8,8
7284160,1278.89,15734.3,6
9245148,3660.12,48974.5,8
9249153,4547.19,72626.4,10
9203449,2442.33,32499.8,8
9193621,4385.14,80059.1,12
9245322,73.9047,1150.21,10
9654722,156.51,12624.1,17
7678068,4964.53,57042.6,5
9218515,3063.91,42880.2,8
9223238,-,-,-
9619285,1947.79,26982.1,6
9657794,4736.67,62972.6,8
